Location,Burrito,Date,Neighborhood,Yelp,Google,Cost,Tortilla,Temp,Meat,Fillings,Overall
Donato's taco shop,California ,1/18/16,Miramar,3.5,4.2,6.49,3,5,3,3.5,3.8
Oscar's Mexican food,California ,1/24/16,San Marcos,3.5,3.3,5.45,2,3.5,2.5,2.5,3
Pollos Maria,California,1/27/16,Carlsbad,4,3.8,6.59,4,5,4,3.5,4.2
Nico's Taco Shop,California,1/30/16,Carmel Valley,3,2.9,7.19,2,3,3,2,2.6
Los Primos Mexican Food,Monster California,2/1/16,UTC,3,3.7,9.25,2,4.5,4.5,3.5,3.9
JV's Mexican Food,Carne Asada,2/6/16,Morena,4,4.1,6.25,2.5,1.5,1.5,3,2
Tony's Fresh Mexican Food,Chile verde pork,2/11/16,Miramar,3,4.1,6.95,3,4,4,3,3
Taco Stand,California,2/12/16,La Jolla,4.5,4.4,7.49,3,2.5,4,4,4.2
Graciela's Taco Shop,Adobada ,2/14/16,Bonita,4,4.5,5.99,4,4,3,3.5,4
Rigoberto's Taco Shop La Jolla,California,2/17/16,La Jolla,2.5,4,6.4,3,4,2.75,3,3
Lolita's taco shop,2 in 1,2/24/16,Kearny Mesa,4,4.4,8.75,1.5,2,3,3.5,4
Lola's 7 Up Market & Deli,Shredded beef,2/29/16,Carlsbad,4.5,4.9,6,2.5,2.5,3,4,3.8
Colima's Mexican Food,Hawaiian,3/3/16,North Park,4,4.2,6.29,3.5,5,4,4,4
Rigoberto's Taco Shop,Carne asada,3/8/16,Miramar,4,4.4,6.6,4,2,4,3.5,4.25
Raul's Mexican food,Chile verde pork,3/11/16,Encinitas,4,4.2,5,2,,2.5,2,2
El Zarape,California,3/14/16,University Heights,4,4.4,6.25,3,5,4,2.75,3.33333
El Indio,California,3/17/16,San Diego,3.5,3.9,7.84,4,4,3.5,4,4
Cancun Mexican & Seafood,California,3/20/16,Encinitas,4.5,4.1,6.99,4,4.5,4,3.5,4.2
Vallarta express,Quesaburro,3/21/16,Clairemont,3.5,4,6.95,3,4,3.5,4,4.1
Mikes Taco Club,California,3/23/16,Ocean Beach,4.5,4.9,8.59,4,4.5,3.5,5,4.3
La Perla Cocina,Addiction,3/30/16,Pacific Beach,4.5,4.7,7.99,4,4,2,3,2.5
Porkyland ,Deborah's special,4/2/16,Carmel Valley,4,4.4,8.25,4,4.5,3.5,2.5,4
Rudy's Taco Shop,Chicken,4/9/16,Solana Beach,4,4.3,6.6,3.5,3,4,4.5,2.8
California Burritos,California Everything,4/15/16,Linda Vista,4.5,4.4,6.25,4.5,4.5,2.5,3.5,4.1
Jorge's Mexicatessen,California ,4/24/16,Encinitas,4,4.5,5.95,2.5,2.5,3.5,4,3.8
Senor Grubby's,California,4/24/16,Carlsbad,4,4.1,9,2,3.5,3,1.5,1.5
